original,original_bytes,best,best_bytes,savings_bytes,savings_percent
originals/00098_support-1-p-500_a04ece6133ad.jpg,39102,best/00098_support-1-p-500_a04ece6133ad.avif,14491,24611,62.94
originals/00099_support-1_1ea3c9c9a19c.jpg,65071,best/00099_support-1_1ea3c9c9a19c.avif,35877,29194,44.86
originals/00100_tablets-CS-green-cap_583fb0d1b6fd.png,102430,best/00100_tablets-CS-green-cap_583fb0d1b6fd.avif,9857,92573,90.38
originals/00101_tablets-CT-green-cap_34b565972dd1.png,97239,best/00101_tablets-CT-green-cap_34b565972dd1.avif,9566,87673,90.16
originals/00102_terri_1terri_c2bd52f9c80b.jpg,1898,best/00102_terri_1terri_c2bd52f9c80b.webp,810,1088,57.32
originals/00103_webclip_d3646af7e667.png,3361,best/00103_webclip_d3646af7e667.webp,966,2395,71.26
originals/00104_wegovypen_26fbabc96084.png,147189,best/00104_wegovypen_26fbabc96084.avif,19957,127232,86.44
originals/00105_wegovypill_a7ed023143ae.webp,37216,best/00105_wegovypill_a7ed023143ae.avif,9523,27693,74.41
originals/00106_wegovypill2_a3a63fef8bd8.webp,93326,best/00106_wegovypill2_a3a63fef8bd8.avif,16560,76766,82.26
originals/00107_zepboundpen_1907d7a68cb0.png,171162,best/00107_zepboundpen_1907d7a68cb0.avif,22475,148687,86.87
originals/00108_zeplady_20f6c6a7fe45.png,754024,best/00108_zeplady_20f6c6a7fe45.avif,22329,731695,97.04
originals/00110_medvi-icon_477b4320834a.png,16417,best/00110_medvi-icon_477b4320834a.avif,1137,15280,93.07
originals/00111_treviews_58f58819bdbf.png,2450,best/00111_treviews_58f58819bdbf.webp,1654,796,32.49
originals/00112_73x73_b5c97463c2f3.png,15443,best/00112_73x73_b5c97463c2f3.webp,1264,14179,91.82
